Business Type,Latest Pure Premium Rate,Footnotes,Keywords
N/A,N/A,,N/A
PhraseologyDAIRY FARMS,Latest Pure Premium Rate$6.81,"FootnoteThis classification applies to all acreage devoted to the raising of cows for the production of milk or cream, or the raising of replacement dairy heifers. This classification also includes acreage devoted to the raising of goats for milk, cream or meat production. This classification includes the slaughtering of animals when performed by the employer.This classification includes growing feed, hay or grain crops when more than 50% of such crops are used by the employer. Cultivation or harvesting of crops that are primarily sold to others shall be assigned to the appropriate Farms Industry Group classification.Milk pasteurization, processing or bottling; dairy products manufacturing; or route drivers who deliver bottled milk to customers and perform no other duties on the farm premises shall be separately classified as 2063, Dairy Products or Ice Mfg.The raising of beef cattle shall be classified as 0038(1), Stock Farms.The raising of calves for others shall be classified as 0034(2), Sheep, Hog or Calf Farms.","classification, dairy, milk, raising, shall"
N/A,N/A,,N/A
"PhraseologyDAM CONSTRUCTION — all operations — including dam repair, alteration, seismic retrofitting and demolition",Latest Pure Premium Rate$3.19,"FootnoteThis classification applies to the construction or repair of dams, including but not limited to concrete or earth filled dams.This classification includes the construction of access roads in connection with dam construction.Tunneling shall be separately classified as 6251, Tunneling or Underground Mining.","6251, classification, construction, dams, tunneling"
PhraseologyDAY CARE CENTERS — child — not residential care facilities — all employees — including receptionists,Latest Pure Premium Rate$1.83,"FootnoteThis classification applies to child day care centers that provide nonmedical care and supervision for children ranging from infancy to 17 years of age for periods of less than 24 hours; preschool programs; or before or after school programs that are not operated in connection with public or private schools operated by the same employer.This classification also applies to recreational or educational day camps that do not include overnight lodging for camp participants.This classification also applies to day care services provided by employers primarily for the use of their employees' dependents, in accordance with the General Exclusions rule. See Section III, Rule 6, General Exclusions.Overnight camps or retreat facilities shall be classified as 9048(1), Camps or Retreat Facilities.This classification does not apply to child care or supervisory services, including but not limited to day care, preschools, kindergartens and before or after school programs that are operated by the same employer in connection with public or private schools which provide instruction for the first grade and higher; such operations shall be classified as 8868, Colleges or Schools — private — not automobile schools — professors, teachers or academic professional employees, 9101, Colleges or Schools— private — not automobile schools — all employees other than professors, teachers, or academic professional employees, or 8875(1), Public Colleges or Schools.Boys and girls clubs that provide supplemental after school and recreational activities for school age children on an elective or drop-in basis shall be classified as 9067(2), Clubs — boys and girls.","care, day, employees, private, schools"
N/A,N/A,,N/A
PhraseologyDECORATING — interior or exterior — hanging flags or bunting for conventions or celebrations,Latest Pure Premium Rate$4.67,"FootnoteThis classification applies to decorating the interior or exterior of buildings, streets, parking lots or malls with flags, banners, pennants or bunting in connection with conventions, celebrations, festivals or parades. This classification also applies to the installation of seasonal decorations, including but not limited to garland, trees, stars, balloons, lights, inflatable figurines and props. This classification includes the installation of similar items for advertising or commercial purposes.The erection, removal or repair of tents away from the shop shall be classified as 9529(3), Tent — erection, removal or repair.Painting or wallpaper installation shall be classified as 5474(1)/5482(1), Painting or Wallpaper Installation.The installation or placement of house furnishings for other concerns on a fee basis shall be classified as 9521(1), House Furnishings.The installation of floor coverings, including but not limited to linoleum, vinyl, asphalt or rubber tile, carpet or rugs within buildings shall be classified as 9521(2), Floor Covering.The installation of window coverings shall be classified as 9521(3), Window Covering.","9521, classification, classified, installation, shall"
PhraseologyDENTAL LABORATORIES — including foundry or casting operations,Latest Pure Premium Rate$1.45,"FootnoteThis classification applies to the manufacture of dental appliances or devices, including but not limited to crowns, dentures, inlays, bridges, braces and retainers in accordance with orders placed by dentists or orthodontists for individual patients.Dental, orthodontia, periodontal and oral surgery practices shall be separately classified as 8839, Dental or Orthodontia Practices.","8839, dental, orthodontia, practices, separately"
N/A,N/A,,N/A
PhraseologyDENTAL OR ORTHODONTIA PRACTICES — including Clerical Office Employees and Clerical Telecommuter Employees,Latest Pure Premium Rate$0.65,"FootnoteThis classification applies to dental practices or clinics that provide general, restorative or cosmetic dental services or teeth whitening or straightening procedures. This classification also applies to periodontal or oral surgery practices. This classification includes the manufacture or customization of dental products, including but not limited to crowns, dentures, inlays and bridges when performed in connection with the dental services provided.Physiciansâ€™ practices or clinics that provide outpatient medical services shall be classified as 8834, Physiciansâ€™ Practices and Outpatient Clinics.The manufacture of dental products primarily for other concerns shall be separately classified as 4692, Dental Laboratories.","classification, clinics, dental, practices, services"
