input_text,output_text
"SPINNING, WEAVING OR FIBER PROCESSING — natural or synthetic fibers — N.O.C. This classification applies to spinning or weaving natural or synthetic fibers to produce yarn, thread or fabric, including but not limited to cotton, jute, wool, nylon or polyester. This classification also applies to the manufacture of wool or synthetic felt; jute or hemp carpets or rugs; natural cotton, kapok or synthetic fiber batting, wadding or waste; or spun or woven products, including but not limited to braid, webbing, rope, nets, cloth labels, fire hose, carpet seam tape, silk fly fishing lines and plush or velvet fabric. This classification also applies to the processing of natural or synthetic fibers, including but not limited to the preparation of raw wool by combing or scouring.The extrusion of plastic to produce plastic strands for spinning or weaving shall be classified as 4495, Plastics — extrusion molded products mfg.Knitting operations shall be classified as 2362, Knitting.The bleaching, dyeing, mercerizing or finishing of textile fabrics shall be classified as 2413, Textiles.",Classification Code: 2222 | Pure Premium Rate: 4.25 | Effective Date: 9/1/2023
"WATERPROOFING — other than roofing or subaqueous work — performed as a separate operation not a part of or incidental to any other operation — including shop, yard or storage operations — employees whose regular hourly wage equals or exceeds $31.00 per hourAssignment of this classification is subject to verification at the time of final audit that the employee’s regular hourly wage equals or exceeds $31.00 per hour. The payroll of an employee whose regular hourly wage is not shown to equal or exceed $31.00 per hour shall be classified as 5474(2), Waterproofing. This classification applies to the application of water repellent coatings, membranes or caulking to interior or exterior building surfaces. This classification also applies to the application of firestop caulking.This classification includes shop operations, including but not limited to mixing and blending waterproofing materials and equipment maintenance.The application of water repellent coatings, membranes or caulking to roof surfaces shall be classified as 5552/5553, Roofing.Waterproofing operations in connection with the employer's other classifiable operations shall not be separately classified.",Classification Code: 5482 | Pure Premium Rate: 4.36 | Effective Date: 9/1/2023
"LAND LEVELING — grading farm lands — employees whose regular hourly wage equals or exceeds $38.00 per hourAssignment of this classification is subject to verification at the time of final audit that the employee’s regular hourly wage equals or exceeds $38.00 per hour. The payroll of an employee whose regular hourly wage is not shown to equal or exceed $38.00 per hour shall be classified as 6218(3), Land Leveling. This classification applies to leveling, smoothing and shaping agricultural land for other concerns on a fee basis. This classification also applies to ripping and subsequent grading of soil when such operations are not performed in connection with land clearing.Land leveling performed in connection with the employer's own farming operations shall be assigned to the applicable Farms Industry Group classification.Land clearing operations, including land ripping, shall be classified as 2702(2), Land Clearing.",Classification Code: 6220 | Pure Premium Rate: 2.69 | Effective Date: 9/1/2023
"PARCEL DELIVERY AND MESSENGER SERVICE COMPANIES — including terminal employees and mechanics — no handling of bulk merchandise or freight This classification applies to the delivery of lightweight parcels on a fee basis if (1) less than 10% of the individual parcels and packages delivered weigh in excess of one hundred pounds and (2) less than 10% of all deliveries have a total combined weight of all items delivered at any one stop exceeding two hundred pounds. This classification also applies to app-based on-demand Delivery Network Companies (DNC) that deliver restaurant meals, groceries or various store merchandise, or perform errands such as dropping off or picking up dry cleaning.When employees furnish the vehicles utilized in these operations the determination of reportable remuneration shall be made in accordance with Section V, Rule 4, Drivers' and Their Helpers' Payroll.Transport of the United States mail under contract to the United States Postal Service shall be classified as 7232, Mail Delivery Service Companies.",Classification Code: 7198 | Pure Premium Rate: 8.66 | Effective Date: 9/1/2023
"GRAIN ELEVATORS OR STORAGE WAREHOUSES — no cleaning, sacking or packaging This classification applies to the bulk storage of grain, including but not limited to wheat, rice or barley, as well as dried beans, in warehouses, grain elevators or silos. This classification applies to companies that hold title to the grain or beans, as well as those that store grain or beans on a contract basis. This classification also applies to rice drying operations.The sale of animal feed products, including but not limited to hay, straw, alfalfa, oats, rice, corn or mixed feeds to wholesalers, retailers or agricultural or commercial customers, shall be classified as 8215(1), Hay, Grain or Feed Dealers.The storage of sacked or packaged grains or beans, including cleaning, sacking or packaging operations performed in connection with storage, shall be classified as 8215(2), Warehouses — grain or bean.",Classification Code: 8304 | Pure Premium Rate: 6.9 | Effective Date: 9/1/2023
"BUFFING OR POLISHING OF METAL — shop only — N.O.C. This classification applies to the buffing or polishing of metal items for other concerns on a fee basis.Buffing or polishing operations, when performed by the same employer in connection with its manufacturing, repair or service operations, shall be assigned to the applicable manufacturing, repair or service classification.Electropolishing or passivation shall be classified as 3372(1), Electroplating, Electrogalvanizing or Anodizing.Metal buffing or polishing operations when performed at customers' locations, including but not limited to elevator door and handrail polishing shall be classified as 9008, Janitorial Services.",Classification Code: 3372 | Pure Premium Rate: 5.18 | Effective Date: 9/1/2023
"STABLES — all employees — N.O.C. This classification applies to stables that are engaged in boarding horses for other concerns on a fee basis and that are not more specifically described by another classification. This classification includes the feeding, watering, training, grooming and exercising of horses, and the maintenance of stable grounds. This classification also applies to the provision of riding lessons.Veterinary care of horses, including stable operations in connection with veterinary care, shall be classified as 8831(1), Hospitals — veterinary.The operation of riding clubs that provide board and care for members' horses shall be classified as 7207(2), Clubs — riding.The operation of stables at racetracks or certified training facilities for horse racing not more specifically described by another classification shall be classified as 8631, Racing Stables — all other employees.The operation of stables at racetracks or certified training facilities for harness racing shall be classified as 7207(5), Racing Stables — harness racing.The operation of stables in connection with horse shows or rodeos shall be classified as 7207(3), Horse Shows or Rodeos — stable employees.The operation of stables in connection with pack train operations shall be classified as 7207(4), Pack Trains.The breeding of horses shall be classified as 0038(1), Stock Farms.The raising of miniature horses (not to exceed 38 inches in height) shall be classified as 0034(2), Sheep, Hog or Calf Farms.",Classification Code: 7207 | Pure Premium Rate: 8.05 | Effective Date: 9/1/2023
"CLOCK MFG. — including foundry operations This classification applies to the manufacture and repair of mechanical clocks, including but not limited to payroll time clocks, mantle clocks, grandfather clocks and wall clocks. This classification includes the fabrication of clock enclosures or housings when performed by the same employer that manufactures the clock.The manufacture of electronic digital clocks shall be classified as 3681(1), Instrument Mfg. — electronic.",Classification Code: 3383 | Pure Premium Rate: 2.84 | Effective Date: 9/1/2023
"PAPER COATING OR LAMINATING This classification applies to the coating or laminating of paper, foil or plastic film to produce products, including but not limited to pressure-sensitive paper, adhesive tape, magnetic tape and waxed or colored paper. 
Manufacturing paper or cardboard stock shall be classified as 4239(1), Paper or Cardboard Stock Mfg.Manufacturing or refurbishing ink ribbons used by computer printers shall be classified as 4250(2), Computer Printing or Typewriter Ribbon Mfg. or Refurbishing.The conversion or processing of paper stock to manufacture finished goods, including but not limited to notebook paper, paper towels, napkins, cups, plates, diapers, medical gowns, paper tubes, air filter elements and coffee filters shall be classified as 4279(1), Paper Goods Mfg.
Manufacturing asphalt saturated building or roofing paper or felt shall be classified as 4283, Building or Roofing Paper or Felt Asphalt Saturation.",Classification Code: 4250 | Pure Premium Rate: 3.12 | Effective Date: 9/1/2023
"LAMPSHADE MFG. — not metal or glass This classification applies to the manufacture of lampshades from materials other than metal or glass, including but not limited to cloth and synthetic fabric, vinyl, paper and leather.The manufacture of stained glass lampshades shall be separately classified as 4111(3), Cathedral or Art Glass Products Mfg.The manufacture or assembly of metal light fixtures or lamps shall be classified as 3180, Light Fixtures or Lamp Mfg. or Assembly — metal.",Classification Code: 2501 | Pure Premium Rate: 5.87 | Effective Date: 9/1/2023
